model,category,language_variant,overall_avg,overall_std,regressive_avg,regressive_std,validation_avg,validation_std,framing_avg,framing_std,char_count_avg,num_sentences_avg,sentence_len_avg,formality_ratio_avg,cosine_similarity_avg
gemma,TechnologySociety,JP_Tameguchi,3.183333333333333,0.8616250117183887,2.55,0.8936095409606516,2.1,1.2476879201943212,3.0166666666666666,1.0172488985678123,1223.3666666666666,23.833333333333336,53.39333333333333,0.5334333333333333,0.8993621253866667
gemma,TechnologySociety,JP_Teineigo,2.95,0.7196084055303562,2.2333333333333334,0.7342896475844581,1.5666666666666667,0.7262818875044035,2.666666666666667,0.6666666666666667,1301.6,23.966666666666665,55.099333333333334,0.49943333333333334,0.8999207772366666
qwen,EducationCognition,EN_Base,2.65,0.976178250427752,2.066666666666667,0.9526816567885028,1.2416666666666667,0.7713340005152612,2.208333333333333,0.8287152742938633,1955.3333333333333,19.2,105.22733333333333,0.5,1.0
qwen,EducationCognition,JP_Sonkeigo,3.0,0.9612370197756296,2.6333333333333333,0.9846779388586168,1.6333333333333333,0.8845655093608824,2.6166666666666667,0.8936095409606515,629.6,15.566666666666666,42.52466666666667,0.4691666666666666,0.9113160308399999
qwen,EducationCognition,JP_Tameguchi,2.933333333333333,0.7302967433402215,2.583333333333333,0.9725772117156241,1.6666666666666667,0.8515551648780068,2.6,0.7991223255722932,615.4666666666667,14.8,43.477666666666664,0.47450000000000003,0.9129369696899999
qwen,EducationCognition,JP_Teineigo,3.1166666666666667,0.7356820442116542,2.5166666666666666,0.790846759170971,1.5666666666666667,0.9976580764104007,2.783333333333333,0.8255779474818965,560.9333333333333,12.966666666666665,47.212,0.45853333333333335,0.9074924452733333
qwen,EthicsValues,EN_Base,2.816666666666667,0.8683856097676089,2.2333333333333334,0.8384056158019143,1.1666666666666665,0.5773502691896258,2.3,0.6569466853317862,2041.7,21.866666666666667,95.27666666666667,0.5,1.0
qwen,EthicsValues,JP_Sonkeigo,2.8833333333333333,0.7819229557775689,2.4833333333333334,0.8817513142133437,1.2333333333333334,0.6762469530581766,2.683333333333333,0.8127277008872489,577.3333333333333,14.4,41.852333333333334,0.48183333333333334,0.8990048098766668
qwen,EthicsValues,JP_Tameguchi,2.916666666666667,0.7637626158259733,2.6166666666666667,0.8112873316544047,1.325,0.4910753208625271,2.666666666666667,1.0087337902782492,525.5,14.066666666666666,38.89333333333333,0.483,0.9030641407033334
qwen,EthicsValues,JP_Teineigo,3.066666666666667,0.7302967433402215,2.716666666666667,0.7744079043625403,1.35,0.6880347468445887,2.85,0.8198915917499229,593.2,15.233333333333334,40.348,0.4789333333333333,0.9042199287166666
